Gloria di Angelica#Irradia la benedizione di Angelica, portando luce e protezione ai suoi alleati. La sua aura rafforza la difesa di chi naviga acque insidiose o riposa nei porti.#266244#2#0
Inganno di Morgana#Sfrutta l'inganno di Morgana per confondere e sopraffare i nemici solitari. Si manifesta pienamente sotto l'oscurità notturna.#131240#0#2
Ardore di Orlando  #Infonde coraggio e forza, aumentando l'attacco contro i nemici maschi. La sua potenza è al culmine sotto la luna piena.#1179912#3#0
Soffio di Merlino#Arricchisce la mente di chi la possiede con la saggezza di Merlino. Ogni incantesimo lanciato è un'opportunità per crescere in saggezza.#128#0#2
Fiamma di Excalibur#Scatena un attacco devastante nei giorni di sole, simbolo della forza inarrestabile di un guerriero sul campo di battaglia.#131072#4#0
Echi di Avalon#Misura il fluire del tempo, trasformando ogni momento in velocità. Ogni secondo conta durante i viaggi tra luoghi lontani.#74752#0#2
Melodia di Titania#Canta con le voci delle creature magiche, donando carisma a chi le incontra. Riecheggia con la bellezza e l'armonia della natura selvaggia.#524288#1#2
Danza di Oberon#Celebra l'unione e la forza collettiva, offrendo difesa aggiuntiva in presenza di alleati. #262144#2#0
Furore di Mordred# Incapace di contenere la furia di Mordred, questa carta scatena un attacco devastante contro i nemici femminili. Si manifesta pienamente sotto cieli tempestosi.#786432#3#0
Visione di Viviana#Svela i segreti più nascosti, offrendo intuizione a chi cerca la verità. Illumina il cammino verso la conoscenza.#71040#0#2
